Date,Open,High,Low,Close,Adj Close,Volume,DMA,Signal,Buy_signal,Sell_signal
2018-11-16,5645.319824,5657.02002,5498.939941,5575.549805,5575.549805,5279320000,-162.1359097511231,-72.91410733263265,,
2018-11-17,5578.580078,5578.580078,5519.560059,5554.330078,5554.330078,4303150000,-194.11074406997795,-97.15343468010173,,
2018-11-18,5559.740234,5653.609863,5559.740234,5623.540039,5623.540039,4159680000,-211.4291416580263,-120.00857607568665,,
2018-11-19,5620.779785,5620.779785,4842.910156,4871.490234,4871.490234,7039560000,-282.5808149061213,-152.52302384177358,,
2018-11-20,4863.930176,4951.609863,4272.109863,4451.870117,4451.870117,8428290000,-368.5801031101146,-195.73443969544178,,
2018-11-21,4465.540039,4675.72998,4343.97998,4602.169922,4602.169922,6120120000,-419.768391724524,-240.54123010125824,,
2018-11-22,4611.569824,4629.640137,4365.640137,4365.939941,4365.939941,4569370000,-473.93404776459374,-287.21979363392535,,
2018-11-23,4360.700195,4396.419922,4195.680176,4347.109863,4347.109863,4871490000,-512.4726842431146,-332.2703717557632,,
2018-11-24,4347.689941,4413.089844,3795.159912,3880.76001,3880.76001,4679500000,-574.0283257776464,-380.6219625601399,,
2018-11-25,3880.780029,4120.870117,3585.060059,4009.969971,4009.969971,6825640000,-605.4066995978337,-425.57890996767867,,
2018-11-26,4015.070068,4107.140137,3643.919922,3779.129883,3779.129883,6476900000,-641.5062678774921,-468.76438154964137,,
2018-11-27,3765.949951,3862.959961,3661.01001,3820.719971,3820.719971,5998720000,-659.1610648615269,-506.84371821201853,,
2018-11-28,3822.469971,4385.899902,3822.469971,4257.419922,4257.419922,7280280000,-630.644900426094,-531.6039546548336,,
2018-11-29,4269.004395,4413.020508,4145.765137,4278.84668,4278.84668,6503347767,-599.4070826327943,-545.1645802504257,,
2018-11-30,4289.088867,4322.976563,3942.822021,4017.268555,4017.268555,6048016717,-588.9687899727132,-553.9254221948833,,
2018-12-01,4024.464355,4309.377441,3969.710693,4214.671875,4214.671875,5375314093,-558.3314720199696,-554.8066321599006,,
2018-12-02,4200.733398,4301.519531,4110.978516,4139.87793,4139.87793,5262697895,-533.9315920624631,-550.6316241404131,4139.87793,
2018-12-03,4147.32373,4155.979492,3840.446289,3894.130859,3894.130859,5089570994,-528.3339414397742,-546.1720876002854,,
2018-12-04,3886.294922,4075.627686,3832.75,3956.893799,3956.893799,5028069239,-512.920687858581,-539.5218076519445,,
2018-12-05,3958.894775,3969.535889,3753.994873,3753.994873,3753.994873,5302481574,-511.1851962396013,-533.8544853694759,,
2018-12-06,3754.074463,3874.966064,3521.101807,3521.101807,3521.101807,5878333109,-522.5783725012025,-531.5992627958212,,
2018-12-07,3512.590332,3512.590332,3280.22876,3419.937256,3419.937256,6835615448,-533.6194477431841,-532.0032997852938,,3419.937256
2018-12-08,3421.9104,3506.043457,3350.650635,3476.114746,3476.114746,5305024497,-531.7073342975209,-531.9441066877393,3476.114746,
2018-12-09,3473.227539,3685.305664,3469.094238,3614.234375,3614.234375,4947372847,-513.1318068139094,-528.1816467129734,,
2018-12-10,3612.046387,3647.33252,3470.144531,3502.656006,3502.656006,5020968740,-501.63151349981035,-522.8716200703408,,
2018-12-11,3497.554688,3513.185059,3392.25,3424.588135,3424.588135,4696765188,-493.1323501739512,-516.9237660910629,,
2018-12-12,3421.458252,3534.228516,3413.481445,3486.950195,3486.950195,4139364829,-475.8789684209396,-508.7148065570383,,
2018-12-13,3487.879395,3489.739502,3298.13208,3313.677246,3313.677246,4343372456,-470.7605829971171,-501.1239618450541,,
2018-12-14,3311.751953,3329.555908,3206.542236,3242.484863,3242.484863,4372763663,-467.0648234542682,-494.31213416689695,,
2018-12-15,3243.997559,3275.37793,3191.303467,3236.761719,3236.761719,3551763561,-459.3031563998511,-487.31033861348783,,
2018-12-16,3236.274658,3305.753174,3233.819824,3252.839111,3252.839111,3744248994,-446.7053272216058,-479.1893363351114,,
2018-12-17,3253.123047,3597.917969,3253.123047,3545.864746,3545.864746,5409247918,-408.3693098059257,-465.0253310292743,,
2018-12-18,3544.761475,3701.349365,3487.169189,3696.059082,3696.059082,5911325473,-361.6988726647978,-444.360039356379,,
2018-12-19,3706.824951,3949.322998,3687.22998,3745.950684,3745.950684,6810689119,-317.0318340309814,-418.89439829129947,,
2018-12-20,3742.195068,4191.228516,3728.974609,4134.441406,4134.441406,8927129279,-247.43267968219743,-384.6020545694791,,
2018-12-21,4133.703613,4198.429688,3850.946289,3896.543701,3896.543701,7206015706,-209.0612767629823,-349.49389900817977,,
2018-12-22,3898.08374,4014.182617,3855.739014,4014.182617,4014.182617,5605823233,-167.23144611387715,-313.04140842931923,,
2018-12-23,4020.994629,4085.723633,3976.405762,3998.980225,3998.980225,6151275490,-133.7657417350747,-277.18627509047036,,
2018-12-24,4000.331787,4271.79248,4000.331787,4078.599121,4078.599121,7240968501,-99.6704119370379,-241.6831024597839,,
2018-12-25,4081.030518,4089.561523,3760.020508,3815.490723,3815.490723,6158207293,-92.81040567433638,-211.9085631026944,,
2018-12-26,3819.666748,3893.359619,3769.86377,3857.297607,3857.297607,5326547918,-83.0430663668144,-186.1354637555184,,
2018-12-27,3854.688477,3874.416992,3645.448486,3654.833496,3654.833496,5130222366,-90.59521603337907,-167.02741421109056,,
2018-12-28,3653.131836,3956.135986,3642.63208,3923.918701,3923.918701,5631554348,-74.01423185722979,-148.4247777403184,,
2018-12-29,3932.491699,3963.758789,3820.408691,3820.408691,3820.408691,4991655917,-68.43717403423943,-132.4272569991026,,
2018-12-30,3822.384766,3901.908936,3797.219238,3865.952637,3865.952637,4770578575,-59.654638178230016,-117.87273323492809,,
2018-12-31,3866.839111,3868.74292,3725.867432,3742.700439,3742.700439,4661840806,-61.92599325197489,-106.68338523833746,,
